*race,parental_level_of_education,lunch,test_preparation_course,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R30,#R31,#R32,#R34,#R37,#R38,#R39,#R40,#R41,#R42,#R44,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R55,#R56,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R81,#R82,#R83
Black,school,standard,completed,46,Tony Stark,33,30,30,27,33,33,33,27,51,33,30,30,51,44,30,27,51,22,27,30,22,27,43,43,43,22,33,30,30,43,43,33,30,27,33,27,33,51,22,33,30,30,22,30,43,33,30,30,51,43,22,27,30,27,33,27,33,22,33,33,20,57,15
Pacific Islander,college,standard,none,47,Hayden Perry,51,51,43,51,43,30,51,33,22,30,33,22,33,22,44,51,27,44,51,33,30,51,51,22,30,33,30,22,33,22,30,27,33,51,30,33,27,30,30,30,22,51,33,33,51,30,33,33,27,44,33,33,27,51,30,33,30,33,22,27,36,6,57
White,school,standard,none,48,Dario Sheppard,30,43,42,44,30,43,43,43,43,12,43,12,19,30,33,43,30,43,43,43,44,43,30,30,22,44,43,19,19,44,19,30,43,43,43,30,43,27,43,44,43,33,43,43,30,43,15,43,43,33,43,30,51,44,43,43,43,19,44,30,17,3,56
Native,associate,standard,none,49,Anahi Aguilar,43,12,33,43,44,44,44,44,19,43,44,43,44,15,22,30,43,33,44,19,43,30,27,12,44,43,44,44,43,42,22,43,19,44,44,43,51,33,44,43,19,43,44,44,27,44,22,44,44,30,44,43,43,30,19,30,44,43,19,43,3,36,36
Asian,bachelor,free/reduced,completed,50,Oliver King,44,44,27,30,42,19,30,30,12,44,19,44,43,43,31,44,19,19,30,44,19,44,54,33,31,19,19,33,44,30,44,44,44,30,12,19,54,12,42,19,44,42,19,19,12,19,44,19,19,12,19,44,19,43,44,44,12,44,43,12,6,51,29
Native,bachelor,standard,completed,51,Alexandra Beltran,12,31,54,12,15,12,19,42,44,42,42,19,31,42,54,42,42,12,19,54,31,12,42,31,54,42,12,31,31,15,12,19,31,12,19,44,19,54,12,12,42,54,12,31,19,12,31,12,30,42,42,19,12,12,12,19,19,42,54,44,8,43,8
Black,school,standard,none,52,Harold Cannon,42,19,12,42,19,42,42,12,8,31,12,42,54,19,12,12,12,31,12,42,12,54,12,19,12,54,54,42,42,19,54,12,42,42,42,42,44,44,19,54,12,44,31,42,44,42,12,31,42,54,54,12,42,19,42,42,42,54,42,54,1,30,22
Black,school,free/reduced,none,53,Nadia Blanchard,19,15,44,19,12,31,12,19,31,19,54,54,30,12,19,19,44,54,42,12,42,42,44,54,19,12,42,12,12,31,42,42,12,19,54,12,42,19,15,31,54,12,15,12,54,54,42,42,12,19,12,42,44,42,31,12,54,12,12,42,51,33,30
Black,bachelor,standard,none,54,Katherine Fox,54,47,19,54,31,15,8,31,42,24,29,8,12,29,42,31,54,42,31,8,29,29,19,24,42,8,8,15,15,12,31,54,15,54,31,54,10,24,31,42,31,19,10,29,42,31,19,8,8,31,29,54,54,54,29,54,8,31,31,19,43,15,40
Native,high school,standard,completed,55,Jaylee Walter,31,8,8,31,24,8,31,54,15,15,31,47,42,24,47,54,8,24,8,29,15,19,8,29,47,29,31,29,8,47,47,31,8,31,8,31,12,42,47,8,8,8,8,8,29,8,47,15,31,47,8,31,29,8,8,31,31,8,8,8,19,22,33
Native,school,standard,completed,56,Perla Henson,8,42,10,8,29,29,54,8,47,8,8,31,29,31,24,8,31,10,54,31,8,10,24,42,29,31,29,24,29,24,8,8,47,8,29,29,8,8,24,47,29,10,42,24,10,29,29,29,29,24,31,8,24,31,15,29,47,47,29,10,12,44,3
Native,college,standard,completed,57,Valery Diaz,24,29,29,29,8,24,29,10,29,10,47,10,24,47,10,10,29,47,29,24,24,31,10,10,24,47,47,47,47,29,29,29,29,29,47,8,24,29,8,10,24,24,47,15,24,47,10,24,54,29,24,29,31,29,10,8,29,24,10,24,15,42,44
Black,high school,standard,none,58,Adelyn Stark,29,10,31,24,10,10,10,24,10,47,24,24,8,10,29,29,24,8,24,47,47,24,31,8,10,24,10,10,10,10,10,24,10,10,10,24,31,10,10,24,47,29,24,10,31,24,24,47,24,8,10,24,10,24,24,10,24,10,47,31,24,19,42
White,school,standard,none,59,Presley Wolf,10,24,24,10,47,47,24,29,24,29,10,29,10,8,8,24,10,29,10,10,10,8,29,47,8,10,24,8,24,8,24,10,24,24,24,10,29,31,29,29,10,31,29,47,8,10,8,10,10,10,47,10,8,10,47,24,10,29,24,29,10,8,19
