*race,parental_level_of_education,lunch,test_preparation_course,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140
White,associate,standard,none,10,Johnny Kennedy,20,38,59,7,7,20,7,32,58,7,20,1,16,44,49,13,58,7,38,58,2,1,49,58,44,59,25,59,50,21,20,33,38,20,2,49,9,49,38,20,38,58,38,9,20,58,41,20,21,44,59,27,48,46,38,41,13,38,59,32,55,27,38,56,48,26,5,27,46,50,5,50,27,46,50,50,50,56,48,17,27,26,46,54,14,26,50,17,46,59,46,50,17,26,46,5,17,5,46,59,16,15,58,21,58,21,15,15,16,16,41,7,41,58,7,41,7,16,21,13,46,7,16,59,38,41,46,21,58,21,58,52,52,11,45,47,26,28,42,17
White,associate,standard,completed,11,Dustin Johnston,44,9,21,32,49,38,16,7,21,16,1,49,23,41,58,41,33,23,1,59,21,44,38,20,20,58,23,58,23,58,49,58,49,21,49,21,58,20,7,39,58,30,58,21,58,4,20,14,38,23,5,55,49,55,48,27,32,46,56,50,46,32,50,50,26,48,26,11,59,26,27,41,50,26,38,27,56,38,50,50,50,46,5,46,20,32,46,13,32,56,27,48,32,46,14,14,32,48,21,48,7,21,11,47,47,7,7,17,46,38,15,41,13,11,18,16,41,59,58,41,7,58,15,58,58,46,38,7,16,46,17,17,50,46,52,14,13,45,53,15
White,college,free/reduced,none,12,Levi Glover,58,59,9,41,1,44,58,1,20,9,2,41,59,21,59,38,49,21,58,49,49,49,20,49,13,4,21,49,21,23,58,38,9,16,9,58,1,41,58,23,49,38,39,58,38,49,16,59,25,38,52,50,55,17,41,32,5,13,21,26,32,49,14,55,46,13,13,55,55,5,17,27,46,14,26,48,48,14,26,5,49,55,27,14,46,59,55,48,14,27,5,13,46,27,38,26,27,55,50,13,21,13,41,41,13,28,46,21,17,18,52,16,50,46,13,46,18,58,13,21,21,46,13,13,41,16,13,58,14,16,45,21,7,18,21,58,18,4,50,20
Black,high school,standard,none,13,Brennen Hart,16,20,49,59,16,41,49,49,41,49,21,38,25,14,9,58,38,44,49,41,30,2,21,9,59,13,32,4,59,13,4,1,59,9,38,41,21,58,52,21,21,9,21,49,41,41,49,41,58,49,32,48,13,48,55,5,55,5,32,46,26,55,5,14,52,32,46,32,27,21,49,46,41,27,55,46,5,46,41,32,13,17,26,1,41,38,48,55,55,49,55,5,50,38,48,38,21,26,20,27,46,48,16,52,14,58,13,58,52,46,16,45,48,21,52,14,13,26,15,52,50,21,45,11,9,58,45,50,21,52,7,47,21,13,15,46,58,9,20,2
Native,high school,free/reduced,none,14,Jaden Dorsey,38,21,20,38,59,49,13,9,44,21,16,58,20,20,21,52,13,25,59,20,13,38,59,1,38,20,16,9,25,59,33,52,1,38,59,7,38,25,49,49,9,18,23,20,9,13,18,38,49,1,26,32,52,37,14,20,50,49,52,27,27,26,21,49,13,5,32,46,13,11,26,17,5,55,14,5,13,21,49,26,55,52,52,5,52,41,13,26,26,37,49,14,5,55,21,13,50,27,49,37,13,26,13,45,48,48,21,28,15,47,48,46,14,41,46,21,52,13,46,50,41,48,50,47,13,47,48,13,46,7,18,13,26,21,13,13,7,49,32,54
Black,master's,free/reduced,completed,15,Kayla Brewer,13,16,2,4,21,16,59,20,39,1,49,25,41,49,16,20,59,9,13,4,5,58,23,59,21,38,39,21,58,9,21,16,21,41,58,33,23,1,41,41,2,52,20,41,44,1,44,49,16,52,14,49,26,13,13,55,26,50,14,52,21,5,13,26,49,46,52,21,52,55,55,26,26,52,49,26,27,27,1,14,41,14,55,26,49,52,5,1,13,32,14,55,14,17,52,50,46,14,5,46,58,18,46,16,7,16,45,41,47,58,46,18,21,26,50,50,58,18,47,7,18,26,5,50,50,52,18,52,26,13,28,18,5,26,18,7,21,14,49,37
Black,associate,standard,none,16,Presley Lin,9,2,38,23,4,5,25,18,38,52,38,59,9,9,41,9,26,38,21,13,9,52,9,13,41,49,38,41,16,49,52,21,16,49,52,16,41,5,25,1,41,2,52,52,13,9,39,52,41,9,48,52,1,5,26,1,14,17,41,5,5,1,55,21,55,21,50,5,16,37,13,14,37,21,5,49,21,12,21,12,14,49,49,13,32,27,17,5,49,21,26,49,13,13,55,55,49,12,16,16,52,37,5,58,18,26,41,26,5,13,5,28,45,47,47,52,45,45,18,9,26,52,18,26,47,45,50,45,50,26,50,50,18,7,58,52,14,15,48,27
White,associate,free/reduced,completed,17,Tess Doyle,2,43,18,16,2,13,1,16,52,59,25,13,2,52,2,16,2,1,16,1,59,9,2,38,43,5,46,5,49,41,39,9,13,2,4,43,39,9,16,25,7,59,13,13,1,20,21,1,9,4,13,16,46,1,1,13,27,12,26,13,49,13,26,12,5,52,49,14,49,14,52,13,13,5,13,16,37,13,46,13,37,1,13,37,27,49,1,32,5,55,21,26,0,14,5,52,14,13,0,52,45,46,18,7,16,14,52,52,9,28,45,52,47,14,26,47,14,21,52,47,58,28,52,45,45,18,58,5,2,28,2,46,41,50,9,4,47,12,55,36
Black,school,standard,none,18,Darrell Tate,39,1,1,52,9,2,2,41,26,2,52,21,13,16,1,21,16,2,41,2,1,41,39,52,52,9,4,16,5,39,25,25,52,4,16,2,52,2,2,2,1,41,4,39,52,38,17,9,13,25,28,1,41,49,37,37,12,41,49,21,37,14,52,5,21,1,41,49,50,1,1,49,21,49,41,13,46,49,32,41,12,13,21,12,37,50,37,12,41,13,13,52,21,41,37,1,52,10,13,58,26,16,45,28,28,18,14,18,28,26,18,58,18,13,45,45,50,4,26,26,14,14,14,14,14,50,14,28,18,18,47,5,1,28,47,21,52,8,47,26
White,high school,standard,none,19,Nick Porter,21,41,16,13,41,1,9,58,1,41,59,16,21,39,13,2,9,41,2,21,4,16,13,39,2,2,1,25,2,43,59,17,25,39,13,1,25,4,59,16,4,43,2,4,16,2,2,13,4,59,49,0,14,52,52,21,37,55,55,12,1,12,37,16,14,37,21,58,21,41,21,21,14,41,21,52,1,16,12,55,26,5,1,27,1,12,49,41,12,14,12,12,41,16,49,49,13,49,12,14,41,14,21,5,41,5,28,7,13,5,14,21,1,5,14,18,47,47,1,18,45,9,28,52,46,5,5,18,52,47,41,45,45,47,50,18,50,26,17,47
Asian,high school,standard,none,20,Hadassah Valdez,25,52,13,18,18,9,41,52,4,4,13,46,1,1,4,39,41,26,4,16,41,39,16,4,16,43,49,52,43,25,16,41,41,52,41,4,4,59,4,9,16,49,41,16,25,39,1,2,52,13,37,14,5,14,12,12,21,21,1,1,12,28,41,41,37,41,45,41,14,46,14,12,1,0,1,41,32,37,52,1,5,21,14,21,21,8,21,0,52,58,1,21,12,49,13,21,58,52,14,21,5,58,52,13,45,52,58,14,58,21,26,5,58,53,28,4,28,50,14,5,9,45,58,41,26,9,37,9,47,45,26,2,28,5,14,45,49,24,56,46
Black,associate,standard,completed,21,Leon Bauer,1,13,46,9,13,43,43,25,55,25,41,39,52,43,25,17,43,4,26,39,46,25,57,25,25,16,37,13,52,16,43,39,4,1,43,13,13,16,1,4,26,21,25,25,4,17,43,4,37,18,21,45,12,21,5,26,52,28,10,37,10,37,49,1,1,55,12,52,41,13,12,52,16,13,12,0,41,52,0,45,52,28,12,52,45,21,52,14,1,1,52,41,49,0,58,27,37,37,26,1,28,55,9,26,49,46,26,9,48,39,49,14,28,9,39,49,5,1,45,14,5,1,26,37,53,49,26,47,28,9,14,28,14,9,4,28,28,29,5,56
White,school,free/reduced,none,22,Cheyenne Wade,4,25,39,39,39,18,4,13,49,13,39,52,18,4,39,43,37,39,43,26,16,13,52,16,17,52,2,1,4,1,13,4,39,25,39,52,2,39,39,13,43,1,16,1,39,16,9,58,26,46,10,21,21,0,49,52,41,37,37,16,41,52,12,52,16,14,16,37,12,52,16,0,49,12,52,12,16,55,14,16,21,37,16,8,55,16,12,21,37,8,37,37,52,1,41,37,41,21,58,26,18,9,14,9,21,45,18,13,18,45,28,26,9,45,49,26,9,14,39,45,47,47,47,28,4,14,47,26,45,5,5,1,9,58,26,9,45,22,13,49
Black,school,standard,none,23,Silas Bowen,5,39,43,2,52,39,39,5,25,39,4,4,4,2,52,26,25,43,25,25,25,4,4,2,1,25,18,2,1,4,2,13,2,43,1,39,16,13,13,46,25,25,55,2,2,52,52,25,2,2,1,13,37,41,21,49,1,10,13,41,13,21,1,13,41,12,28,1,1,28,10,37,52,1,37,28,8,1,45,52,1,12,41,23,13,58,0,37,21,52,28,1,1,37,0,28,16,1,52,0,14,5,49,18,4,9,5,1,21,52,13,13,37,28,9,5,26,5,28,28,28,49,9,5,18,4,39,14,5,4,37,9,58,14,5,5,9,23,4,59
White,college,standard,completed,24,Joel Terry,17,4,5,5,25,26,52,39,17,43,43,2,26,13,46,40,52,16,52,52,43,17,17,37,46,54,52,17,54,46,18,26,43,46,25,25,5,43,18,18,55,28,57,17,26,25,55,5,43,39,41,10,58,23,45,16,45,0,16,49,45,41,28,8,45,16,14,16,37,2,58,58,0,37,23,1,52,4,16,58,45,41,37,0,8,55,41,52,28,45,41,10,8,28,1,12,0,16,10,45,9,1,4,49,2,53,9,45,37,49,58,2,4,18,58,37,37,9,5,2,37,5,39,9,5,26,4,4,4,14,52,26,37,39,28,26,37,44,37,51
White,high school,free/reduced,none,25,Lance Ramsey,46,18,52,25,46,40,46,54,37,18,26,43,39,5,26,5,39,55,28,5,18,18,18,5,37,41,13,18,46,26,46,46,17,18,18,5,17,54,55,57,46,39,5,43,5,37,4,55,45,41,12,12,8,12,28,53,16,16,45,10,58,0,10,58,0,58,8,45,58,16,0,28,12,16,10,10,0,58,58,28,28,10,8,49,12,1,45,23,16,0,16,58,58,45,12,58,12,41,2,28,49,52,26,37,9,37,55,4,55,2,4,37,2,55,53,9,2,2,4,4,1,18,37,2,39,2,9,2,23,55,23,37,53,49,56,37,4,30,26,34
Black,associate,free/reduced,none,26,Micheal Mcclain,43,5,26,28,5,52,18,37,43,46,46,26,46,26,43,18,18,18,39,17,39,55,25,55,26,17,6,43,39,52,5,37,5,26,26,46,46,52,46,43,18,37,1,55,37,55,25,43,39,5,45,28,16,16,4,45,0,58,0,58,52,58,0,10,28,2,58,12,45,0,41,16,10,8,16,37,45,23,10,37,16,45,45,41,9,40,23,45,10,12,0,28,9,2,10,10,28,28,45,41,39,45,28,4,53,2,49,39,35,9,55,39,5,1,37,2,4,28,37,53,49,39,49,39,56,37,1,39,49,53,49,49,47,23,37,55,35,25,27,57
White,college,standard,completed,27,Emilee Larsen,18,46,40,26,17,25,26,17,18,5,54,17,5,18,18,1,4,52,5,37,52,37,5,46,5,39,58,39,13,40,1,2,55,5,46,26,28,40,5,55,52,4,18,26,55,5,13,37,5,26,18,23,10,8,0,8,10,4,12,8,8,16,16,37,58,10,37,0,28,58,37,10,8,45,45,21,49,45,9,49,10,16,28,19,2,28,58,16,0,16,10,16,16,21,16,16,1,45,37,55,4,4,37,39,23,13,53,5,49,4,53,9,26,2,2,28,49,39,55,39,39,56,4,49,55,28,49,23,56,34,9,14,49,1,39,35,2,7,14,55
Native,college,standard,none,28,Yael Gordon,37,17,25,43,43,55,55,35,13,17,55,5,43,55,54,54,57,37,17,55,26,5,46,28,4,40,55,26,28,54,37,5,18,17,17,55,26,17,37,52,28,46,40,18,43,46,40,26,1,53,0,41,23,2,16,0,9,1,4,45,23,10,45,0,10,45,1,10,10,53,2,1,45,58,58,2,40,10,13,9,18,0,58,45,10,37,16,58,45,9,58,0,45,58,45,0,4,0,1,12,35,2,2,14,26,4,4,55,26,37,9,53,56,4,5,35,1,37,9,37,2,2,1,35,49,53,53,37,37,37,4,40,39,37,49,49,55,42,46,9
White,high school,standard,none,29,Alina Grant,52,26,17,37,26,4,54,55,54,28,5,18,17,54,17,0,55,5,46,18,37,26,3,18,39,18,43,37,18,17,17,43,26,13,54,17,43,18,17,5,5,17,17,5,18,26,46,40,18,55,58,58,0,18,58,28,28,14,58,23,0,45,58,45,12,0,40,8,0,12,23,23,28,28,0,4,10,28,37,8,58,58,4,16,16,18,9,10,58,41,45,45,28,12,2,8,18,58,23,35,2,49,56,2,39,1,2,2,4,14,2,4,35,39,4,39,35,49,56,55,23,55,2,1,28,55,28,49,9,39,53,53,4,4,1,39,56,13,18,1
White,college,standard,none,30,Agustin Holt,54,57,4,17,37,37,40,26,45,57,35,54,37,17,55,55,28,40,55,51,17,45,37,26,18,46,26,46,57,37,55,18,37,37,40,57,55,28,6,28,13,57,46,46,17,43,5,46,46,17,8,9,7,45,23,58,4,45,8,28,2,9,2,23,4,4,0,18,23,4,8,9,9,10,2,18,23,9,22,0,4,23,0,22,58,45,40,28,23,28,9,2,37,10,9,18,10,35,28,4,37,34,39,23,37,39,39,35,39,55,6,34,39,40,1,55,53,53,35,49,40,4,53,4,34,23,35,1,53,20,55,0,2,35,53,2,22,38,12,22
Black,high school,free/reduced,none,31,Ryland West,57,55,54,57,54,28,57,46,16,37,17,6,28,40,37,4,5,17,40,46,55,6,28,17,40,55,17,51,40,48,45,40,46,40,5,18,18,51,26,26,54,5,43,37,46,6,28,18,35,43,2,37,45,10,8,10,58,8,18,53,28,2,9,4,2,28,35,9,2,10,4,8,23,2,9,9,35,0,2,2,0,2,23,53,28,22,4,4,4,40,23,8,18,4,8,45,23,8,41,8,23,35,53,1,5,22,56,49,23,35,37,40,53,56,55,53,39,35,2,1,4,37,56,22,22,1,40,56,39,1,35,4,3,56,23,1,5,31,28,11
White,college,free/reduced,completed,32,Yaritza Fox,45,54,37,46,55,45,17,4,28,40,18,28,40,46,28,37,40,46,37,54,54,46,43,35,54,37,35,54,26,28,51,57,28,28,37,40,53,26,35,40,37,55,54,28,3,18,26,17,55,57,16,18,22,28,10,18,7,2,28,40,16,8,8,9,53,35,23,19,8,45,45,2,40,4,4,58,4,53,8,23,2,18,2,28,40,2,34,19,8,23,4,9,7,23,4,35,53,23,53,9,56,28,55,35,35,56,37,53,6,23,22,1,55,49,23,34,56,23,53,56,53,22,22,55,1,56,55,55,55,35,39,57,55,2,2,56,40,52,21,39
White,high school,free/reduced,none,33,Riya Middleton,28,37,57,35,40,35,5,40,5,26,28,55,57,37,40,25,17,28,18,35,57,43,55,43,55,26,5,28,37,5,54,51,54,57,35,54,45,46,45,17,40,35,37,6,51,54,6,35,17,35,4,22,53,9,2,22,53,35,2,9,22,4,4,2,23,53,2,4,4,9,22,45,22,9,18,45,28,2,4,18,9,4,9,58,18,0,10,8,18,4,2,23,22,53,23,4,9,2,18,19,1,53,35,55,6,49,35,37,40,1,1,49,23,20,35,1,55,34,25,20,20,51,55,23,2,35,2,22,3,2,56,23,22,55,55,40,53,10,1,24
Black,master's,free/reduced,completed,34,Hassan Foley,55,45,55,40,28,46,28,43,35,55,37,40,54,35,57,51,46,54,54,43,28,28,26,6,6,6,28,55,6,18,35,54,57,54,57,35,51,55,43,54,17,53,35,45,57,45,54,28,54,37,23,8,28,4,18,40,23,22,23,18,40,23,23,28,8,22,10,28,9,34,28,53,53,23,8,23,58,41,28,10,23,22,10,10,23,10,42,53,9,10,22,4,35,22,28,19,45,53,7,7,53,39,1,56,3,40,23,40,3,34,39,3,49,37,22,56,23,40,49,22,34,53,35,53,35,25,23,35,1,40,1,20,34,3,35,20,1,27,16,45
White,college,free/reduced,none,35,Maci Huber,26,6,6,54,57,54,6,57,6,45,40,51,55,51,5,15,53,51,57,40,0,57,35,51,28,28,0,3,17,45,26,55,40,55,51,28,6,0,54,37,57,51,11,57,40,28,0,51,40,51,7,53,18,58,9,23,19,23,19,0,4,18,18,22,9,19,53,2,42,8,18,4,58,35,28,8,2,8,23,34,8,35,42,4,0,23,28,18,2,7,8,18,19,9,19,23,8,9,22,23,55,3,23,53,1,35,1,34,22,56,40,56,57,22,3,23,3,56,23,25,55,35,23,40,43,39,22,53,35,56,40,39,56,0,3,53,3,36,41,16
Black,associate,free/reduced,none,36,Phoenix Fuentes,51,28,48,6,6,51,51,36,57,54,6,3,53,36,6,53,35,34,45,6,45,35,51,54,35,0,54,6,0,35,28,27,6,51,28,6,37,45,40,6,0,26,51,54,54,51,34,53,51,28,53,2,4,53,19,35,40,53,34,4,53,19,6,6,35,18,9,34,19,23,7,22,35,18,22,40,22,42,7,22,35,34,53,34,22,53,53,9,40,22,7,53,23,8,53,53,2,4,8,42,0,0,40,25,34,23,6,3,1,6,35,55,34,3,40,6,40,3,40,35,3,0,0,6,25,34,56,34,20,3,0,43,40,6,34,6,0,47,2,5
Native,associate,standard,none,37,Delaney Moon,6,53,35,55,35,6,35,45,11,51,0,0,51,45,0,45,45,3,51,28,51,54,54,57,57,35,11,34,55,55,3,48,45,6,45,51,40,57,51,53,45,11,28,40,28,53,51,45,3,54,40,40,19,19,6,9,2,40,53,2,18,40,42,53,40,9,18,7,40,35,19,19,4,40,40,34,53,18,40,7,53,7,40,9,19,35,8,40,22,53,35,19,53,18,7,40,22,42,4,53,3,6,3,34,56,55,40,56,0,0,25,23,40,34,0,0,20,55,30,34,35,34,34,20,40,3,6,20,34,23,22,56,35,20,20,57,39,19,0,44
White,associate,standard,none,38,Esmeralda Cooley,0,40,34,0,51,17,0,28,46,0,51,57,6,6,51,46,6,35,35,45,40,40,40,40,53,57,51,48,35,6,6,45,51,48,55,0,54,35,28,51,53,6,26,51,35,40,53,11,28,6,19,7,2,22,22,2,18,18,22,35,35,7,53,18,18,23,22,35,35,40,53,35,2,7,19,53,18,34,18,4,22,40,22,31,35,9,18,2,19,2,18,35,4,35,18,9,19,18,9,10,22,22,22,40,55,34,0,36,2,40,34,35,3,23,20,20,34,0,22,23,22,3,20,57,23,6,25,40,22,49,34,22,51,34,0,34,30,48,45,10
Native,college,standard,completed,39,Areli Marks,40,35,28,53,53,48,45,0,53,6,57,37,36,0,45,6,0,45,3,57,35,51,45,45,34,53,45,35,34,53,57,28,35,35,6,37,57,6,57,0,35,54,45,35,6,57,35,6,6,40,22,4,35,35,40,4,8,9,9,22,9,22,22,35,22,8,42,53,34,18,9,39,18,53,53,19,39,22,53,53,7,8,35,35,4,42,2,7,7,35,53,7,10,40,40,2,40,40,40,22,34,56,0,36,22,3,3,0,53,53,56,22,0,35,6,3,22,20,0,3,56,20,6,34,3,20,3,57,0,22,3,34,23,53,22,23,42,6,23,50
Native,associate,free/reduced,none,40,Raul Strong,35,3,45,45,45,0,53,51,3,34,34,35,0,57,3,28,51,48,6,0,34,34,6,53,51,27,40,0,51,51,0,6,3,45,42,45,27,37,34,3,51,48,48,3,53,27,37,57,57,45,35,34,6,34,57,19,6,42,40,57,39,35,40,31,7,40,39,22,18,51,35,42,34,22,7,39,9,35,19,35,42,57,6,18,34,31,39,35,53,34,34,22,2,42,35,39,51,7,51,31,6,23,6,3,40,36,34,23,34,22,57,25,33,25,57,40,6,6,3,43,43,23,3,0,36,51,20,3,6,25,30,55,6,40,57,22,23,35,9,13
Black,high school,standard,none,41,Rebecca Morse,3,48,31,36,36,36,37,53,51,48,53,15,35,28,34,35,54,6,0,36,6,53,0,11,45,45,57,40,45,34,40,35,53,53,36,42,34,3,36,48,6,0,31,53,27,0,45,3,12,48,9,29,9,40,35,31,22,19,42,7,42,34,35,19,6,6,6,23,53,57,40,6,7,42,35,7,57,57,35,42,19,39,18,40,42,57,35,57,35,31,42,40,31,34,22,3,7,34,35,6,40,25,34,22,51,6,22,22,30,3,23,51,20,0,34,22,0,22,34,30,30,40,40,56,20,22,34,0,43,0,36,33,20,22,51,36,6,0,57,33
