_candidate_id,_candidate_name,*race,#R0,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140,#R141,#R142,#R143,#R144,#R145,#R146,#R147,#R148,#R149
10,Sophia Murphy,White,30,24,3,7,24,0,39,24,35,10,32,38,24,7,0,21,0,37,6,0,24,24,24,18,0,0,35,25,10,10,32,10,0,14,18,0,32,24,18,38,30,18,39,32,3,14,21,25,32,32,35,0,35,18,0,0,12,24,35,7,39,0,24,24,30,0,18,32,22,11,18,24,24,24,0,24,0,24,24,39,38,39,39,0,18,21,10,24,7,3,35,0,32,11,30,39,0,0,18,0,22,39,0,24,18,24,0,39,24,21,35,18,21,9,38,22,0,24,0,10,0,32,21,3,24,7,0,32,18,18,21,24,35,24,21,3,35,24,14,35,39,26,0,0,35,7,0,18,3,0
11,Brian Flores MD,White,18,7,18,0,35,22,24,22,0,18,24,24,0,18,7,7,32,11,11,35,21,0,10,0,32,24,18,37,22,30,21,3,24,21,35,35,24,32,30,14,18,35,18,38,14,21,24,14,24,9,18,35,0,35,24,7,26,0,0,37,26,32,21,35,18,24,24,1,21,12,24,3,20,35,24,0,24,0,10,18,21,0,35,35,0,9,32,0,3,26,18,24,0,7,24,3,32,35,24,24,21,26,24,9,30,35,35,30,0,24,10,0,9,32,14,9,24,0,35,24,35,38,24,39,32,24,35,10,24,7,7,18,30,0,35,24,0,0,24,10,35,32,16,24,24,32,24,3,18,35
12,Dorothy Franklin,Hispanic,3,3,39,24,10,14,31,14,24,3,26,0,35,24,14,9,9,16,0,24,0,3,35,24,9,3,3,1,24,18,9,18,35,0,3,3,21,0,3,37,3,24,3,24,7,22,9,10,3,0,3,24,24,24,35,3,39,35,24,14,16,9,35,0,3,35,3,24,14,16,3,18,9,0,35,35,35,3,3,3,0,30,3,24,24,24,38,3,18,32,24,35,9,30,18,18,9,3,3,3,14,30,3,32,24,7,24,31,21,9,3,3,14,14,37,32,3,35,24,22,24,24,17,18,38,18,24,38,35,3,0,39,3,3,24,7,24,35,22,3,3,3,7,35,0,9,3,30,24,24
13,Christopher Waters,White,24,35,24,3,3,9,18,9,3,30,1,5,3,3,24,14,21,6,12,3,7,35,3,3,21,35,24,14,17,3,24,30,3,7,24,24,9,9,24,10,24,3,24,9,1,5,0,37,1,24,24,3,14,3,3,24,24,3,14,10,7,21,3,3,24,15,35,3,0,24,35,7,6,3,3,14,3,35,1,24,9,20,24,3,3,0,25,35,24,1,3,3,14,9,3,30,21,24,35,35,0,12,35,14,39,3,3,18,9,0,30,24,7,24,10,21,35,3,3,5,3,20,5,31,20,3,3,20,3,24,14,30,24,35,3,18,3,3,5,30,24,1,25,3,3,14,35,24,31,14
14,Tracy Lane,White,15,31,31,31,31,21,30,21,14,31,37,34,14,31,1,10,18,25,16,14,37,14,14,11,18,1,31,0,5,31,14,31,31,37,14,31,14,14,14,7,15,15,31,14,24,17,14,7,25,10,31,14,3,14,14,31,11,1,3,25,11,14,5,14,31,14,31,25,9,7,31,31,0,1,14,3,5,14,20,31,14,9,31,14,14,14,20,14,31,25,31,14,10,24,11,31,14,14,31,1,9,11,14,0,31,31,15,24,14,14,5,14,10,0,7,14,31,31,14,17,5,1,22,24,1,31,14,25,31,31,37,31,31,31,5,31,1,14,17,15,31,25,39,5,14,10,14,31,30,15
15,Kim Wallace,White,31,5,15,1,5,17,15,17,15,16,25,16,15,15,37,0,14,24,7,1,1,15,2,15,14,14,14,7,0,5,17,15,11,1,15,5,17,17,15,26,14,31,15,10,17,32,10,1,38,14,15,15,15,31,5,1,4,31,15,26,4,18,1,15,15,3,5,7,10,25,1,11,11,31,31,15,31,31,25,5,10,11,1,15,15,10,1,31,15,37,15,15,24,0,15,15,18,15,5,14,10,24,15,10,15,1,14,15,18,10,31,15,0,10,26,18,5,5,31,0,14,25,0,15,25,15,15,1,5,1,1,15,5,5,1,5,31,15,0,31,5,37,9,14,15,0,15,1,15,3
16,Sharon Gilbert,White,14,1,14,11,36,36,14,10,11,15,38,37,31,11,17,37,10,9,9,31,10,31,31,14,37,5,5,26,32,15,36,14,15,10,31,1,10,10,31,1,31,14,14,36,37,0,36,26,7,36,14,11,31,15,31,5,30,5,31,1,6,10,15,31,11,11,1,38,36,4,5,15,7,5,1,31,11,15,0,1,36,7,5,11,11,36,37,1,11,38,11,11,36,25,31,14,10,11,1,5,36,4,11,17,14,11,31,1,17,36,15,11,37,17,1,17,15,1,15,9,15,0,32,1,37,1,11,37,14,15,17,14,1,1,14,15,5,31,9,16,14,38,12,15,11,37,31,5,16,31
17,Trevor Thomas,White,11,11,11,5,1,10,1,18,31,25,7,11,5,1,10,25,37,7,30,5,17,1,36,31,10,31,15,10,36,14,10,5,5,17,11,14,18,20,11,0,11,1,1,17,36,36,18,0,37,20,11,31,11,11,15,15,6,11,11,0,30,37,31,11,36,31,11,37,17,6,11,1,12,11,5,11,1,1,37,16,18,12,14,31,31,18,0,15,14,7,36,31,20,39,36,1,37,31,14,31,17,1,5,20,16,5,1,14,10,18,16,31,36,36,20,10,1,11,11,36,1,37,36,36,0,14,31,7,1,14,10,25,15,14,31,11,11,5,32,5,15,7,24,31,31,25,11,15,5,11
18,Jasmine Simpson,White,36,14,36,14,27,18,16,36,1,27,36,14,11,14,36,36,17,1,25,15,36,5,5,1,17,11,1,20,9,36,18,22,1,36,1,11,36,36,36,20,1,11,36,20,10,9,17,20,0,18,36,1,1,1,1,14,1,14,1,20,9,17,14,1,14,1,14,0,18,30,14,5,1,14,15,1,15,11,7,36,17,1,20,1,1,17,7,11,1,36,14,1,18,1,5,5,17,1,15,15,18,9,31,37,5,14,11,25,36,37,14,1,17,20,0,37,14,14,1,32,31,7,9,14,7,11,1,0,36,11,5,36,16,15,15,36,14,11,36,14,1,36,30,1,1,17,1,14,1,1
19,Brooke Reynolds,White,1,15,1,15,15,5,36,5,5,1,5,1,1,5,5,17,11,30,21,11,5,11,4,5,25,15,16,36,20,1,20,1,14,25,36,36,20,18,1,11,36,5,5,18,25,37,37,11,36,17,1,36,5,5,11,36,9,32,5,36,21,25,16,5,1,5,15,36,20,1,15,14,25,32,11,5,14,5,36,14,20,25,36,5,36,37,27,5,36,5,5,5,17,12,14,16,25,36,11,11,20,6,1,36,36,15,5,20,5,17,36,36,25,37,5,11,11,15,5,37,11,17,37,20,27,25,5,17,15,5,18,27,14,11,22,1,32,1,37,27,36,5,1,11,5,5,5,16,14,5
20,Jacob Garcia,Asian,20,36,5,36,14,37,5,37,36,36,27,9,36,36,18,20,25,21,1,36,18,32,20,36,5,32,36,11,11,22,5,27,36,5,5,15,5,5,32,18,5,36,11,5,11,18,20,18,17,37,5,5,36,36,36,20,25,15,36,11,2,36,36,36,5,36,36,17,5,21,36,36,4,15,36,36,36,32,17,15,5,4,11,36,5,20,17,32,25,0,1,36,37,38,1,36,36,5,36,32,5,21,36,25,1,36,36,36,37,20,1,5,20,25,11,25,36,32,36,20,36,36,18,5,17,20,36,27,16,20,25,37,36,32,36,14,15,36,18,25,16,0,21,36,36,20,36,36,25,36
21,Amy Cox,Asian,5,32,25,20,20,25,25,25,32,20,0,31,32,25,11,5,5,4,4,32,25,36,15,32,11,22,9,18,28,9,37,36,32,18,32,16,37,28,8,36,32,20,16,37,5,11,5,36,5,5,20,20,33,33,20,11,21,22,33,18,1,5,22,32,32,33,32,5,37,9,20,25,13,36,22,32,32,36,35,20,37,13,15,32,33,5,36,22,5,27,32,32,5,2,32,25,5,32,20,22,37,2,32,5,37,32,32,11,25,5,9,32,5,5,18,5,22,22,20,11,32,27,11,25,36,36,32,36,22,36,36,5,20,22,27,20,20,20,11,1,22,17,2,32,32,36,20,11,36,33
22,Darrell Avery,Asian,25,20,20,16,25,20,8,11,37,4,17,35,22,20,25,18,36,2,2,20,11,22,27,22,36,36,22,35,37,16,25,37,20,11,20,20,28,37,5,27,20,32,25,28,18,20,25,27,27,28,25,32,37,20,37,16,2,36,37,5,25,11,27,20,20,32,16,27,25,2,16,20,2,20,32,37,16,22,27,11,25,2,16,20,32,25,5,36,20,17,16,20,28,21,20,11,11,22,22,36,25,25,22,18,9,20,20,16,20,25,25,20,18,18,36,36,32,36,37,28,22,28,20,16,5,5,22,5,27,16,11,9,11,36,4,25,33,32,20,22,27,27,4,22,37,18,32,20,20,37
23,John Chang MD,Asian,32,22,13,32,4,11,20,20,20,14,11,8,37,16,20,11,35,38,19,22,27,37,32,37,20,20,20,27,25,27,28,16,37,27,37,37,25,11,4,5,37,22,20,11,13,25,11,5,28,25,22,33,32,16,32,37,19,33,20,27,19,8,20,37,37,37,20,28,11,38,32,32,38,16,20,20,20,37,28,33,28,3,33,22,20,11,28,20,13,11,20,22,25,5,37,8,8,20,16,20,11,19,20,11,25,16,22,5,28,28,22,33,11,11,27,35,20,33,32,18,20,35,28,11,28,37,20,28,9,37,27,16,8,20,16,16,36,37,28,36,9,28,19,20,33,11,22,4,37,20
24,Dustin Noble,Other,22,16,16,37,37,28,11,28,22,32,34,22,20,32,27,27,20,19,38,37,20,20,16,20,8,37,33,17,13,37,11,9,16,20,16,32,11,25,33,17,25,37,37,25,27,28,28,17,34,11,32,9,20,37,16,32,3,20,32,17,3,35,25,22,25,20,37,34,28,3,22,16,5,33,16,33,22,20,11,4,11,5,37,37,9,28,18,37,9,34,37,37,11,4,16,20,35,16,32,37,28,38,37,28,27,22,37,37,11,11,27,22,27,28,28,8,16,37,33,25,37,5,25,37,18,16,37,18,20,25,20,4,37,37,32,32,22,33,25,37,20,34,38,16,20,28,33,37,11,32
25,Brandi Phillips,Other,37,25,37,4,32,27,9,27,33,37,28,23,16,13,28,28,8,33,33,16,35,34,37,16,35,16,27,5,27,19,35,25,22,35,25,33,35,27,20,28,4,16,13,35,35,27,27,28,18,27,16,16,16,32,22,25,38,37,9,28,38,20,9,33,16,22,22,18,27,19,33,22,19,22,37,22,37,16,5,9,27,38,32,33,37,27,11,16,32,28,25,33,35,3,22,4,20,9,37,33,27,3,16,27,19,37,16,8,27,27,12,37,28,35,17,20,37,20,22,27,16,18,27,8,11,8,16,11,11,32,28,22,4,33,20,37,16,22,27,9,4,11,33,37,22,27,16,27,27,16
26,David Pearson,White,16,37,4,8,2,12,4,12,9,9,18,36,33,4,35,35,28,3,3,33,28,33,29,33,28,34,4,28,18,4,27,4,4,28,4,4,27,35,16,35,8,25,9,27,20,8,35,8,4,35,37,22,9,22,33,22,34,16,16,35,33,12,32,16,4,16,33,11,35,33,8,4,3,37,33,16,25,34,18,8,35,33,8,16,22,35,35,33,16,18,9,16,27,33,4,37,12,37,33,16,35,34,33,35,20,25,8,9,12,35,19,16,35,27,4,28,8,16,16,35,8,11,8,2,35,22,33,35,32,8,35,19,27,16,9,4,37,16,8,19,37,18,5,8,16,35,37,25,9,9
27,Laura Scott,White,4,8,9,13,22,35,27,35,16,2,4,19,8,8,13,8,12,17,34,4,8,16,9,8,12,33,19,34,35,25,12,19,8,13,9,8,12,12,37,8,9,8,8,8,28,13,12,35,11,12,9,37,22,9,8,8,33,34,22,34,34,28,4,9,9,9,8,35,12,34,37,37,21,4,8,9,8,33,34,25,12,19,25,9,16,12,8,34,4,4,4,9,8,13,25,9,28,33,8,34,12,33,8,8,8,8,4,2,35,12,37,9,8,8,8,12,25,8,9,13,25,34,16,9,8,2,8,8,4,9,13,1,32,34,37,13,27,4,35,12,32,4,3,33,9,8,8,8,8,22
28,Megan Palmer,Hispanic,9,4,2,25,16,8,37,8,8,19,8,27,25,9,8,12,27,34,5,8,13,8,19,25,27,8,37,8,12,20,13,32,33,8,8,22,13,8,25,34,16,4,4,12,8,16,8,34,35,8,4,2,4,8,9,4,5,8,4,4,17,27,12,8,22,8,4,8,8,17,4,8,27,34,4,4,4,8,8,2,8,21,4,2,2,8,34,8,8,8,22,8,13,19,8,27,27,8,4,8,8,5,25,34,4,33,25,4,8,8,20,25,12,13,34,27,4,4,8,8,33,8,13,27,34,9,9,34,19,4,8,20,25,8,19,22,4,8,16,20,25,8,34,34,8,12,9,9,4,4
29,Jeffery Dillon,White,2,33,8,22,9,13,2,13,25,5,35,32,4,37,34,34,34,23,23,25,12,4,25,9,34,4,8,13,8,11,8,20,9,12,22,25,8,34,27,4,22,33,32,34,34,35,13,4,8,13,2,25,25,2,4,2,23,4,25,8,23,34,37,4,8,4,9,4,34,23,25,13,33,8,9,8,27,4,13,27,34,27,22,25,25,13,4,19,37,35,8,2,12,27,9,32,34,4,25,4,34,23,9,12,22,4,33,13,13,13,29,2,34,34,35,34,33,34,2,12,4,4,35,4,4,32,4,4,37,33,12,8,22,4,8,2,34,9,13,29,19,35,13,25,4,34,2,32,13,25
30,Brandon Li,Black,8,13,32,9,19,16,13,16,4,34,12,15,34,22,12,13,19,5,17,9,34,19,33,2,19,19,32,4,31,8,34,8,25,34,33,9,16,4,22,13,33,9,2,13,12,12,34,13,12,34,8,8,8,25,13,27,17,27,8,13,5,19,19,25,13,25,25,13,16,5,9,9,34,27,34,25,9,19,4,37,4,34,9,8,8,34,12,4,33,12,27,25,34,34,27,22,19,25,9,25,16,17,34,13,32,13,9,32,16,4,34,8,13,12,23,13,27,27,25,16,34,12,12,32,12,4,34,23,8,2,34,2,9,25,25,8,25,34,12,13,8,23,27,9,25,13,4,33,2,8
31,Robert Stafford,Black,33,9,33,33,28,34,34,34,27,13,23,20,9,27,23,4,13,27,27,34,23,25,13,4,23,27,11,23,16,34,16,11,27,23,2,13,34,13,9,12,2,2,27,4,23,31,4,12,13,4,27,4,27,4,25,33,31,19,2,12,13,13,28,34,27,27,27,23,13,27,13,33,31,19,2,34,33,25,23,32,16,23,2,27,4,4,23,27,22,23,13,4,4,23,33,2,13,2,2,27,13,31,4,4,28,9,34,27,34,34,28,4,4,23,13,19,34,25,4,31,27,23,31,13,23,13,25,12,34,22,23,32,34,27,11,27,8,25,31,32,33,12,31,4,27,4,25,34,19,27
32,Sharon Jones,Black,13,27,27,27,34,23,19,23,2,28,13,25,27,33,19,23,23,13,13,27,19,27,28,27,13,25,2,12,34,32,23,34,13,19,27,2,23,16,2,23,27,34,22,23,19,34,16,23,23,23,13,27,2,27,34,9,13,25,27,23,27,23,2,13,2,2,13,12,23,13,2,27,29,25,25,13,13,27,12,22,23,31,27,4,13,16,13,25,27,13,33,19,23,31,13,13,23,27,34,12,23,13,19,23,2,27,27,22,23,16,2,13,23,4,12,23,9,19,27,23,9,13,15,22,13,27,13,13,2,27,19,11,33,19,33,19,19,13,15,4,2,13,23,27,2,23,34,22,28,2
33,John Pearson,Black,27,34,22,2,33,4,33,19,19,22,19,33,19,2,4,16,31,36,31,2,16,9,34,19,31,13,25,19,23,28,31,28,2,16,13,27,4,23,34,19,13,13,19,19,15,15,23,19,19,16,33,13,13,13,2,28,27,12,13,19,31,31,11,27,33,19,2,19,19,32,27,2,23,12,13,27,34,12,19,34,13,29,34,19,27,19,19,9,2,19,2,34,19,29,2,28,31,13,27,19,19,27,27,19,34,34,2,33,4,23,4,27,19,19,19,31,2,9,13,34,2,19,34,33,19,28,19,19,33,34,16,34,19,12,2,9,9,19,34,28,28,19,29,19,19,16,19,13,34,13
34,Catherine Campbell,Black,28,2,19,19,11,19,28,4,13,11,15,12,13,19,16,19,15,32,36,13,4,12,1,13,15,12,34,15,15,23,4,23,34,4,34,34,31,19,13,15,34,27,33,16,4,19,19,15,15,19,28,19,19,19,23,19,32,2,19,15,32,15,34,19,28,13,34,15,4,31,34,28,17,2,19,19,2,9,15,19,19,17,19,13,19,23,15,2,28,15,28,13,16,17,28,19,15,19,13,13,4,29,2,16,13,2,13,28,19,19,13,19,16,31,15,15,13,12,19,15,13,15,19,19,15,19,2,15,25,13,4,28,2,2,34,28,2,27,19,2,34,15,36,2,13,19,13,19,33,19
35,Spencer Kelly,Black,34,19,28,34,12,31,32,31,34,12,33,2,2,28,15,15,16,29,29,19,15,13,11,34,16,2,28,2,19,2,19,2,19,15,19,19,19,31,19,16,19,19,28,31,31,23,31,16,16,31,34,34,34,34,19,34,29,13,34,16,29,16,23,2,19,34,23,31,15,29,19,19,36,9,27,2,28,13,31,12,15,22,28,34,34,31,16,12,19,33,19,27,31,36,19,34,16,34,23,9,15,32,13,15,11,19,19,19,31,31,11,34,15,15,16,16,28,13,34,19,19,16,23,28,16,33,27,16,13,19,15,13,28,13,28,33,12,2,23,23,11,16,17,13,34,15,27,2,12,34
36,Janet Mata,Black,19,28,34,28,13,15,22,15,28,29,16,13,12,34,31,31,4,31,32,12,31,23,8,28,4,9,13,31,4,12,15,12,28,31,28,28,15,15,23,33,28,28,34,15,16,4,15,33,33,15,19,29,23,23,27,12,36,9,23,33,36,4,33,28,34,28,19,16,31,36,28,34,22,13,23,12,19,23,16,28,31,36,12,28,23,15,31,13,34,16,34,28,15,15,34,12,4,28,19,2,31,36,28,31,23,28,12,34,15,15,23,28,31,16,33,4,19,2,23,4,12,31,4,34,31,12,28,31,12,28,31,33,12,9,12,34,23,23,4,34,23,33,18,28,28,31,23,28,22,23
37,Bobby Garcia,Black,23,12,23,12,29,33,12,33,12,33,31,4,28,12,33,33,2,18,18,23,33,2,23,29,2,23,23,33,33,13,33,13,23,33,23,12,33,33,28,2,23,23,12,33,33,33,33,2,31,33,23,23,28,28,28,13,15,23,28,31,15,2,8,23,23,12,28,33,33,18,12,12,15,23,12,28,12,2,33,13,33,15,13,29,28,33,33,23,23,31,29,23,33,22,29,33,2,23,28,23,33,15,12,33,12,12,28,12,33,33,8,23,33,2,2,2,12,23,28,33,28,33,33,12,33,34,12,33,23,12,33,23,13,23,23,12,13,28,33,11,12,31,15,12,12,33,28,12,32,28
38,Aaron Williamson,Black,29,23,12,23,8,2,23,2,29,8,2,29,23,23,2,2,33,15,22,28,2,28,22,12,33,28,12,16,2,33,2,29,12,2,12,23,2,2,12,31,12,12,23,2,2,2,2,31,2,2,29,28,29,12,12,23,22,28,29,2,18,33,13,12,29,23,12,2,2,15,23,23,32,28,28,23,23,28,2,29,2,18,23,23,29,2,2,28,12,2,23,12,2,18,23,23,33,29,12,28,2,18,23,2,33,23,23,23,2,2,32,29,2,33,31,33,23,28,29,2,23,2,2,23,2,23,23,2,28,23,2,12,23,28,13,23,28,12,2,8,13,2,22,23,23,2,12,23,23,29
39,Christopher Franklin,Black,12,29,29,29,23,29,29,29,23,23,29,28,29,29,29,29,29,22,15,29,29,29,12,23,29,29,29,29,29,29,29,33,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,12,12,12,29,29,29,18,29,12,29,22,29,29,29,12,29,29,29,29,22,29,29,18,29,29,29,29,29,29,23,29,32,29,12,12,29,29,29,29,29,12,29,29,32,12,29,29,12,29,29,29,22,29,29,29,29,29,29,29,29,33,12,29,29,29,29,29,29,12,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,33,29,29,32,29,29,29,29,29,29,12
