_candidate_id,_candidate_name,*race,#R0,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80,#R81,#R82,#R83,#R84,#R85,#R86,#R87,#R88,#R89,#R90,#R91,#R92,#R93,#R94,#R95,#R96,#R97,#R98,#R99,#R100,#R101,#R102,#R103,#R104,#R105,#R106,#R107,#R108,#R109,#R110,#R111,#R112,#R113,#R114,#R115,#R116,#R117,#R118,#R119,#R120,#R121,#R122,#R123,#R124,#R125,#R126,#R127,#R128,#R129,#R130,#R131,#R132,#R133,#R134,#R135,#R136,#R137,#R138,#R139,#R140,#R141,#R142,#R143,#R144,#R145,#R146,#R147,#R148,#R149
10,Sophia Murphy,White,23,7,20,34,1,0,0,34,23,0,3,30,23,24,27,35,34,7,0,29,32,23,19,32,32,32,29,29,19,29,23,27,34,29,35,29,37,7,7,33,16,23,29,29,23,23,9,32,17,0,0,0,23,2,34,23,23,1,34,1,2,0,23,35,30,0,0,23,37,1,37,0,23,35,28,29,18,33,27,21,32,30,23,16,15,0,2,7,1,20,32,18,2,1,37,29,16,1,2,19,33,29,0,35,32,3,19,37,32,30,2,29,16,7,30,16,32,24,23,32,19,37,3,0,37,23,37,35,29,7,7,35,26,32,32,35,9,0,37,0,29,2,18,34,17,9,27,37,30,15
11,Brian Flores MD,White,14,1,18,7,34,18,32,1,29,23,26,27,29,33,31,32,27,34,32,19,30,29,37,17,19,3,3,23,29,19,29,31,32,23,0,3,31,27,1,0,0,37,32,19,29,19,16,18,33,4,35,35,32,19,32,3,37,34,37,7,31,19,29,19,17,32,9,35,29,34,27,32,17,18,15,19,24,18,32,32,35,33,29,1,7,32,7,27,34,25,24,24,26,34,27,32,35,27,37,31,18,19,32,18,30,29,34,29,37,23,25,14,37,9,18,37,35,33,32,23,29,3,37,23,3,35,23,15,37,0,35,12,37,7,0,32,2,23,7,20,3,14,30,7,35,37,20,29,33,28
12,Dorothy Franklin,White,19,20,35,12,35,15,19,6,3,32,19,24,32,18,37,12,12,31,9,9,27,9,35,29,31,19,19,9,9,9,19,34,35,19,31,23,6,0,23,23,34,8,23,3,9,29,26,35,9,18,17,37,27,37,27,32,9,35,35,0,37,34,9,37,29,9,20,32,9,30,3,33,35,33,7,9,31,32,37,9,17,18,19,23,27,23,26,12,35,23,19,20,19,30,9,19,31,12,14,35,35,9,34,30,18,9,20,9,35,27,19,3,19,31,0,19,19,17,3,19,9,32,9,32,23,25,19,18,32,35,27,27,14,1,17,7,19,32,1,31,19,19,33,35,31,34,25,32,17,7
13,Christopher Waters,Other,37,35,0,27,19,35,14,7,9,19,32,32,9,23,25,33,32,2,23,3,7,19,31,31,6,23,9,19,32,3,32,19,30,32,34,19,32,19,32,18,35,7,19,32,19,14,3,30,29,20,21,19,1,14,35,19,19,19,1,35,19,35,32,31,9,23,13,14,14,35,26,30,29,21,32,3,20,17,14,23,21,17,9,7,35,9,31,35,30,32,27,31,34,35,14,9,19,30,19,34,0,3,3,12,35,14,31,32,31,7,37,23,26,37,33,31,27,32,19,27,14,14,19,9,19,34,14,17,3,4,30,7,23,0,18,27,25,19,6,6,9,37,0,27,29,32,23,3,18,33
14,Tracy Lane,White,9,32,4,32,33,4,35,0,32,9,9,34,19,17,0,27,30,0,19,32,33,32,0,35,0,9,32,32,3,32,9,2,27,9,19,9,16,1,27,17,37,0,14,9,32,35,7,12,31,35,18,27,34,7,30,9,32,33,0,32,7,31,14,0,32,19,4,3,35,19,0,17,18,29,33,32,29,30,9,12,33,23,32,27,24,19,0,30,19,27,6,29,25,32,3,23,6,32,7,20,20,32,37,32,12,32,35,3,0,26,31,32,1,19,23,6,2,12,9,7,23,23,14,19,35,7,35,0,14,32,32,24,32,26,30,34,32,9,0,34,32,7,23,24,32,4,7,9,0,32
15,Kim Wallace,White,32,37,12,17,31,12,23,32,14,39,14,7,35,0,19,17,35,19,39,14,34,39,2,9,34,14,14,14,14,35,35,37,12,14,6,14,1,31,25,37,31,34,35,35,35,9,0,20,35,26,33,2,0,31,12,14,14,31,7,37,0,3,3,16,31,39,19,37,3,32,16,26,27,32,24,20,17,23,35,17,18,0,14,25,32,35,32,32,31,7,7,9,7,19,23,39,15,35,31,6,12,35,31,33,20,23,37,14,16,3,7,9,34,26,20,0,0,30,39,26,35,9,32,39,32,37,9,20,9,20,17,32,35,27,23,33,27,39,34,35,14,31,20,30,30,8,34,14,23,24
16,Sharon Gilbert,Black,39,36,17,24,30,17,9,25,35,14,35,17,14,3,7,30,29,37,35,35,24,14,3,30,3,35,39,35,35,39,39,0,17,35,3,35,0,26,37,30,3,24,9,14,39,39,37,33,21,17,31,31,37,0,20,39,35,12,36,36,35,37,35,2,20,35,29,9,32,33,1,4,32,30,30,14,9,12,23,26,31,3,39,37,30,39,19,29,33,34,35,17,27,33,5,35,37,29,0,3,17,39,35,27,33,35,3,35,3,1,0,35,0,0,17,15,31,27,35,25,32,35,39,35,39,36,32,27,35,6,12,17,9,37,3,24,26,14,19,3,39,0,17,32,9,1,9,35,26,30
17,Trevor Thomas,White,35,6,28,33,17,28,39,36,39,35,39,33,39,37,26,34,20,16,14,39,20,35,16,12,37,39,35,39,20,20,14,26,20,39,15,39,2,34,34,4,6,2,39,39,14,32,32,27,3,27,27,33,31,3,17,35,39,30,32,14,32,15,13,34,21,14,18,28,20,31,34,23,31,31,29,39,35,3,5,30,27,20,35,26,29,14,37,33,4,9,37,35,9,31,35,14,3,20,3,37,28,14,6,20,27,5,6,20,15,37,14,4,32,32,26,1,33,7,14,31,39,13,35,14,14,19,39,26,28,36,33,33,39,3,25,17,36,35,15,37,20,3,26,33,21,0,26,20,4,17
18,Jasmine Simpson,Asian,31,4,30,30,12,37,31,14,20,4,31,29,31,20,32,29,33,33,28,20,17,31,1,26,1,4,20,31,39,14,20,3,33,31,37,4,15,25,28,3,1,4,31,20,20,4,35,29,30,32,29,3,26,35,33,20,31,4,33,6,26,6,20,3,26,28,35,17,4,12,35,20,33,27,17,35,21,31,20,31,29,37,20,31,33,31,34,24,17,36,4,21,33,12,36,31,34,33,35,15,26,20,1,24,29,4,15,4,1,14,35,13,35,34,4,2,3,34,20,34,31,5,31,20,4,0,31,28,39,19,24,30,28,34,37,20,37,20,8,1,35,35,4,29,12,7,14,4,37,29
19,Brooke Reynolds,White,20,19,37,29,32,26,28,37,31,20,28,21,17,16,14,31,24,26,31,4,12,20,34,37,2,28,4,17,4,4,31,33,24,4,1,28,3,37,36,25,2,32,17,4,4,31,34,17,27,28,7,15,3,34,24,31,20,32,24,19,3,1,4,1,35,31,25,5,13,17,32,31,4,3,4,4,26,26,18,4,20,16,4,28,17,28,35,20,32,14,1,26,36,17,18,28,1,24,34,1,37,4,2,29,24,18,1,13,34,34,3,5,3,25,31,3,8,29,4,37,17,20,20,28,31,14,4,37,13,37,20,29,31,14,16,12,34,31,25,2,31,34,31,17,26,36,36,13,16,3
20,Jacob Garcia,Black,4,25,26,3,37,30,4,4,28,31,5,20,28,31,34,7,31,36,4,31,31,4,15,10,15,31,31,4,31,31,4,16,29,17,36,31,34,14,26,16,15,33,4,31,31,17,14,24,12,37,20,8,14,25,29,4,4,37,28,25,25,36,18,15,7,4,28,39,18,37,28,29,20,39,27,31,7,4,6,3,7,31,31,34,31,4,25,17,12,31,0,7,28,37,2,4,2,31,26,36,30,31,15,17,17,20,36,28,2,28,26,20,31,3,12,34,26,31,31,36,4,4,4,31,28,15,20,29,5,25,29,4,2,28,29,29,31,28,4,15,4,32,12,31,33,26,33,28,29,20
21,Amy Cox,Other,28,3,29,20,24,29,17,15,13,28,4,4,4,25,35,4,17,3,13,18,29,17,36,21,36,20,13,20,18,13,28,1,4,28,2,20,26,10,14,29,36,1,28,17,13,28,28,37,39,29,4,36,25,32,4,28,28,17,19,4,34,2,5,33,4,20,31,20,5,4,25,37,26,12,5,13,37,37,4,37,4,25,17,35,4,20,14,31,37,33,34,12,37,4,15,13,33,17,25,4,29,13,36,31,31,6,2,39,36,10,32,6,25,35,37,33,36,21,28,28,28,28,28,4,13,26,28,30,20,3,4,31,5,8,31,31,28,4,36,14,13,25,37,3,37,33,28,39,25,31
22,Darrell Avery,Black,5,14,31,31,29,31,5,19,18,13,13,12,20,34,36,26,37,1,20,13,21,28,26,3,14,5,17,28,13,17,17,36,31,20,33,5,36,36,35,5,14,28,20,28,17,20,31,31,26,31,3,26,36,26,31,5,13,24,15,3,14,33,28,36,37,13,3,4,17,20,14,12,7,26,37,18,12,29,28,29,3,34,28,14,37,17,3,4,29,28,10,37,14,20,4,20,36,37,32,2,31,17,14,37,37,13,4,18,8,25,34,18,14,14,29,36,15,37,13,14,20,18,7,13,17,33,2,31,4,14,26,37,20,25,26,21,14,5,33,36,18,26,29,37,20,28,24,5,31,37
23,John Chang MD,Hispanic,17,26,32,4,4,32,20,3,5,5,20,31,13,26,3,37,26,15,5,5,4,13,33,33,26,17,28,13,5,28,13,8,37,13,14,17,33,28,33,12,26,19,5,13,28,5,25,26,4,30,26,4,28,36,37,13,17,29,4,26,15,14,17,26,12,5,21,38,6,29,36,27,3,25,20,28,4,25,15,39,26,26,13,33,3,5,36,37,20,37,18,4,24,29,20,5,8,26,36,14,32,28,26,26,5,28,14,5,26,36,36,28,36,28,38,4,16,3,5,33,22,17,5,5,20,4,5,24,17,28,31,3,38,24,12,4,33,17,24,4,28,36,38,20,3,14,37,18,34,27
24,Dustin Noble,Asian,7,15,5,37,38,5,13,33,4,17,2,26,5,29,28,21,3,4,17,28,37,18,8,4,8,13,5,22,28,18,5,15,26,5,8,13,8,3,15,31,33,36,13,5,5,13,33,3,5,24,38,16,33,33,26,17,7,38,26,15,28,4,39,8,33,17,24,13,24,38,31,38,34,4,3,17,33,20,2,5,38,29,5,36,20,13,28,26,26,24,28,33,15,38,24,17,4,4,33,33,19,5,4,4,3,17,33,17,14,35,28,17,28,36,3,26,1,4,17,10,5,30,13,17,22,32,13,32,31,15,37,20,17,35,4,37,29,13,32,26,5,28,3,4,7,2,15,17,3,5
25,Brandi Phillips,White,13,28,19,26,26,19,22,8,2,18,18,37,22,4,24,3,4,8,22,17,26,5,28,34,33,22,18,5,2,30,18,4,3,22,4,22,4,24,29,26,8,25,22,18,18,22,8,5,25,5,25,1,8,28,3,18,5,5,8,33,36,26,2,24,34,22,2,6,39,26,33,34,38,7,31,5,34,39,13,27,25,4,18,3,5,22,33,3,38,29,26,34,22,26,6,22,26,3,15,26,5,18,33,21,26,30,26,31,33,31,33,24,33,15,27,8,28,26,18,35,13,6,17,18,38,28,17,5,38,26,21,5,13,31,5,26,24,18,28,33,7,33,27,26,4,24,35,31,20,26
26,David Pearson,White,2,8,24,21,20,24,7,28,17,22,38,3,7,38,33,20,19,28,34,2,3,30,4,7,25,7,30,7,17,5,22,28,21,38,26,7,24,33,22,34,4,26,7,22,22,36,15,4,38,3,34,12,24,15,21,6,2,26,3,28,24,8,6,4,3,34,38,31,28,24,15,25,25,5,26,38,3,27,24,25,34,38,30,22,26,7,10,19,24,12,33,3,29,24,30,34,14,19,28,25,24,30,8,3,4,15,25,6,4,24,10,30,24,33,34,25,12,20,34,29,2,2,38,34,5,2,6,19,18,8,3,26,36,12,39,3,10,7,26,25,17,15,34,19,34,15,31,38,38,4
27,Laura Scott,Black,38,39,3,5,5,38,6,26,7,34,36,19,34,5,15,5,5,14,7,38,5,7,24,20,4,6,38,6,38,38,7,14,5,6,25,34,25,12,24,38,25,39,6,38,6,38,36,21,10,21,5,24,12,24,5,22,18,20,25,8,33,25,24,28,10,7,39,18,2,5,8,3,39,20,21,7,10,5,36,38,5,5,38,24,19,34,15,5,5,22,36,10,31,5,25,7,25,5,24,8,21,38,25,5,21,7,8,30,25,33,15,31,12,24,25,24,24,5,22,24,6,39,2,7,2,24,22,3,6,33,19,21,6,36,20,5,35,34,14,8,38,4,25,5,10,19,29,2,27,21
28,Megan Palmer,Hispanic,22,33,38,19,3,3,36,29,38,6,6,5,38,12,10,19,39,12,18,6,19,22,25,19,29,38,22,2,30,2,34,12,19,2,29,6,28,8,31,27,29,10,36,6,30,6,24,19,37,19,39,28,10,4,19,34,6,3,2,39,4,29,30,25,19,18,16,2,30,3,24,39,37,37,19,2,19,38,30,20,39,12,6,15,39,6,24,39,3,15,17,5,12,3,17,6,28,39,8,29,10,2,29,19,19,24,29,38,28,8,8,39,15,10,5,28,4,19,6,22,38,7,18,22,6,8,18,21,2,29,5,19,4,33,38,19,22,6,3,29,30,24,5,39,19,3,12,6,5,19
29,Jeffery Dillon,Other,6,29,21,39,6,21,34,24,6,38,7,38,6,27,29,39,21,25,6,30,38,6,18,38,28,36,6,38,6,22,6,25,39,36,12,38,14,29,12,39,12,12,38,2,7,2,22,39,20,10,37,18,4,8,39,7,22,13,39,29,29,12,7,18,38,6,17,24,38,6,12,5,12,19,10,30,5,34,7,10,37,27,22,4,21,36,8,21,6,4,25,19,17,6,28,18,24,21,29,12,38,6,28,39,39,2,12,24,29,12,29,2,10,4,39,18,25,39,2,12,7,24,22,6,36,21,36,10,24,39,39,39,18,15,34,38,12,22,2,28,2,8,39,21,5,25,22,30,12,10
30,Brandon Li,White,18,2,10,10,21,10,38,39,36,7,17,39,18,7,4,10,6,18,38,7,39,2,12,13,24,34,2,18,7,6,38,18,38,7,24,36,18,4,10,10,28,29,34,7,38,7,10,10,7,39,12,25,17,29,38,2,36,10,18,2,10,18,38,12,5,38,7,36,31,21,22,16,5,38,39,6,38,10,17,34,12,7,7,29,10,38,4,6,21,3,39,38,35,21,31,38,29,6,10,28,3,22,24,10,10,36,28,2,24,15,24,15,8,8,7,14,14,38,38,4,30,38,6,38,7,3,38,38,7,2,38,38,7,17,27,39,21,38,39,12,6,10,7,10,39,39,4,7,39,39
31,Robert Stafford,Asian,36,24,39,38,10,39,2,2,30,2,34,10,36,39,8,38,10,24,2,22,10,38,14,5,18,18,34,30,36,7,30,24,10,30,18,18,12,35,4,20,24,14,2,34,34,30,4,38,13,38,19,39,29,10,10,38,38,21,14,24,12,28,36,39,39,2,34,25,36,13,10,10,19,10,13,22,39,16,39,16,19,39,34,10,38,18,29,10,13,8,12,39,3,13,39,2,18,10,4,18,39,7,12,38,38,39,18,36,18,29,4,38,29,29,16,12,18,10,7,15,36,31,36,30,30,29,7,39,36,24,10,10,30,22,10,10,4,30,29,24,22,29,16,6,38,18,17,25,7,38
32,Sharon Jones,Black,30,10,16,16,13,16,18,18,34,30,30,25,2,10,12,13,38,10,30,34,25,34,39,39,12,2,7,34,25,34,2,10,16,34,28,2,29,39,17,13,18,18,30,30,2,18,29,6,19,13,10,10,35,12,16,30,30,6,12,10,8,24,25,14,13,36,15,15,15,10,29,7,10,34,38,34,13,19,25,13,10,10,2,17,13,2,12,38,10,10,14,13,11,10,34,30,12,38,12,24,16,34,18,6,6,31,24,15,12,22,12,25,4,12,10,29,29,25,30,3,18,36,34,2,25,39,30,13,25,10,6,13,22,10,7,25,15,2,18,18,34,12,10,38,25,29,3,24,10,13
33,John Pearson,White,34,12,13,13,25,13,30,10,25,25,22,16,30,13,21,25,13,29,36,36,16,25,29,25,10,30,25,36,15,36,25,29,6,18,39,30,39,15,3,19,10,21,18,25,25,34,12,16,34,16,13,29,18,22,6,36,34,25,29,18,18,39,15,10,25,30,5,7,25,25,18,13,13,16,16,36,25,13,31,19,13,13,25,12,16,30,22,13,25,17,29,25,8,25,13,36,39,13,22,39,6,36,10,13,13,25,39,25,10,21,22,7,18,18,13,39,39,16,25,8,34,25,30,25,34,18,34,16,30,12,16,16,25,4,13,16,8,25,12,10,25,22,13,13,13,12,8,36,13,16
34,Catherine Campbell,Black,25,18,6,25,39,6,25,12,22,36,25,13,25,19,17,16,16,39,25,25,13,36,10,16,39,25,36,15,34,15,36,39,13,25,10,25,10,17,21,7,39,15,25,36,36,25,18,13,16,6,16,17,15,17,13,25,25,39,10,12,22,10,31,29,16,25,22,30,7,16,4,19,16,13,25,15,16,7,34,8,16,19,36,21,6,25,18,16,16,35,21,16,21,16,38,25,10,16,17,10,13,25,39,16,16,38,10,7,39,4,21,36,17,22,19,10,10,13,36,17,25,15,25,15,18,12,25,6,34,18,13,25,24,18,19,13,17,36,21,39,36,17,19,16,16,10,10,34,19,25
35,Spencer Kelly,White,24,17,25,6,16,25,24,17,15,15,24,6,15,8,18,2,25,11,15,15,6,15,17,6,17,16,15,25,24,25,15,17,25,16,11,24,17,18,8,8,17,17,24,15,15,24,17,25,8,25,8,14,22,18,25,15,15,16,21,17,21,11,22,17,6,15,14,34,22,39,17,8,8,8,2,25,6,8,38,7,8,8,15,8,25,15,17,25,39,21,15,6,4,39,7,15,11,25,18,11,25,15,17,25,25,34,11,34,11,18,17,22,39,17,8,17,17,6,15,39,15,22,15,36,16,10,15,25,15,17,25,6,34,29,2,6,18,15,10,17,15,21,8,25,6,21,21,15,2,6
36,Janet Mata,Black,15,22,2,2,2,2,15,21,24,16,15,2,24,2,22,6,2,17,16,24,2,24,11,2,11,24,16,24,22,24,16,22,2,24,17,16,21,22,18,2,22,3,15,24,16,16,21,2,2,2,6,11,39,21,2,16,24,2,17,22,17,17,34,11,2,16,6,22,34,2,21,6,6,6,6,24,2,2,22,2,6,2,16,18,2,24,21,2,2,18,3,2,10,2,22,16,17,2,21,17,2,24,11,2,2,22,17,22,17,17,18,34,22,39,2,21,11,2,16,18,24,34,24,16,24,17,24,2,22,22,2,2,15,39,8,2,3,16,17,11,24,18,2,2,2,17,11,22,8,2
37,Bobby Garcia,White,16,11,8,8,36,8,16,22,21,24,16,8,16,6,39,8,8,5,24,16,8,16,5,8,22,15,24,16,16,16,24,5,8,15,21,15,11,21,11,6,11,11,16,16,24,15,5,8,6,8,2,21,5,11,8,24,16,36,11,21,39,5,16,5,8,24,30,8,8,8,39,2,2,2,8,16,8,6,16,6,2,6,24,11,8,16,39,8,36,11,11,8,39,8,16,24,21,8,39,5,8,16,22,8,8,21,5,8,22,39,11,8,21,21,6,11,21,8,24,21,16,16,16,24,15,11,16,8,21,11,8,8,16,5,6,8,11,24,11,22,16,11,6,8,8,22,18,21,6,8
38,Aaron Williamson,Black,8,21,36,36,8,36,21,11,16,21,21,36,21,22,11,36,36,21,21,8,36,21,21,22,5,21,21,21,8,21,21,11,36,21,22,21,5,5,39,22,5,5,21,21,21,21,39,36,36,36,36,5,11,39,36,21,21,8,5,5,11,22,21,21,22,21,36,16,16,36,5,22,36,36,36,8,22,22,21,22,36,22,21,39,36,21,11,36,8,5,22,22,18,36,21,21,5,36,11,22,36,21,5,36,36,16,22,16,21,5,5,16,11,11,22,5,5,36,21,11,21,21,21,21,21,5,8,36,16,21,36,36,8,11,22,36,39,21,5,5,21,39,22,36,22,11,5,16,22,36
39,Christopher Franklin,Asian,21,5,22,22,22,22,8,5,8,8,8,22,8,36,5,22,22,22,8,21,22,8,22,36,21,8,8,8,21,8,8,21,22,8,5,8,22,11,5,36,21,22,8,8,8,8,11,22,22,22,22,22,21,5,22,8,8,22,22,11,5,21,8,22,36,8,8,21,21,22,11,36,22,22,22,21,36,36,8,36,22,36,8,5,22,8,5,22,22,39,5,36,5,22,8,8,22,22,5,21,22,8,21,22,22,8,21,21,5,11,39,21,5,5,36,22,22,22,8,5,8,8,8,8,8,22,21,22,8,5,22,22,21,21,36,22,5,8,22,21,8,5,36,22,36,5,39,8,36,22
