*race,parental_level_of_education,lunch,test_preparation_course,_candidate_id,_candidate_name,#R1,#R2,#R3,#R4,#R5,#R6,#R7,#R8,#R9,#R10,#R11,#R12,#R13,#R14,#R15,#R16,#R17,#R18,#R19,#R20,#R21,#R22,#R23,#R24,#R25,#R26,#R27,#R28,#R29,#R30,#R31,#R32,#R33,#R34,#R35,#R36,#R37,#R38,#R39,#R40,#R41,#R42,#R43,#R44,#R45,#R46,#R47,#R48,#R49,#R50,#R51,#R52,#R53,#R54,#R55,#R56,#R57,#R58,#R59,#R60,#R61,#R62,#R63,#R64,#R65,#R66,#R67,#R68,#R69,#R70,#R71,#R72,#R73,#R74,#R75,#R76,#R77,#R78,#R79,#R80
White,high school,free/reduced,none,25,Lance Ramsey,1,5,49,37,18,28,2,1,28,4,2,2,2,55,1,2,39,2,1,2,28,49,37,39,5,2,1,1,5,4,49,2,2,1,1,5,4,37,1,1,49,37,5,4,4,37,1,37,5,5,2,1,18,5,4,37,5,2,2,2,37,2,4,1,1,2,5,55,5,5,4,28,2,5,1,39,39,5,5,1
Black,associate,free/reduced,none,26,Micheal Mcclain,2,4,37,1,37,5,37,5,4,37,5,1,39,2,39,1,2,4,2,1,5,2,1,5,2,5,2,37,2,5,37,4,1,39,2,2,55,2,2,39,39,1,1,28,39,1,5,2,37,4,49,2,55,1,37,2,37,37,1,37,2,37,28,37,2,5,1,4,2,37,5,5,5,2,39,2,4,39,28,49
White,college,standard,completed,27,Emilee Larsen,55,37,2,39,55,37,39,39,5,39,39,39,1,39,37,39,4,37,37,39,55,37,4,4,4,39,37,28,37,55,28,1,39,37,37,37,28,4,37,37,2,2,2,5,1,2,37,4,23,37,39,37,28,37,5,55,2,39,4,39,39,55,39,2,37,39,39,2,37,2,37,39,39,37,37,4,37,1,39,2
Native,college,standard,none,28,Yael Gordon,39,45,39,55,28,55,55,4,39,55,37,37,22,5,4,55,37,1,55,4,39,55,39,2,39,37,39,5,39,37,55,37,4,4,4,39,39,55,39,4,55,4,39,37,2,55,39,55,4,55,4,39,39,4,55,4,39,1,39,4,4,4,55,4,39,37,4,37,39,4,39,55,4,39,2,55,2,4,55,4
White,high school,standard,none,29,Alina Grant,4,23,1,4,5,39,4,37,55,5,4,4,4,28,2,4,55,39,4,37,37,39,2,1,1,4,4,39,4,39,5,39,37,55,39,4,37,39,4,55,37,39,22,39,37,39,4,39,45,39,55,4,5,39,39,39,4,4,37,55,1,39,37,39,4,4,37,39,55,39,55,37,37,4,4,37,55,37,37,37
White,college,standard,none,30,Agustin Holt,22,55,53,23,0,45,35,55,23,23,27,23,53,35,27,23,22,53,22,55,23,23,22,55,35,23,55,35,55,45,45,27,22,23,55,55,35,22,55,23,53,23,4,0,22,4,23,53,35,35,35,55,23,23,45,22,55,23,27,22,35,35,23,22,27,23,27,23,4,22,45,35,23,35,22,53,53,22,23,35
Black,high school,free/reduced,none,31,Ryland West,23,0,55,35,23,23,23,22,45,53,55,27,23,45,55,35,53,35,35,27,45,0,55,53,27,27,27,45,23,23,23,35,23,22,22,22,23,23,27,22,22,53,55,45,23,27,55,0,55,23,0,27,45,55,23,23,22,55,23,23,55,23,45,55,55,55,23,22,22,55,23,23,22,55,35,22,22,23,45,53
White,college,free/reduced,completed,32,Yaritza Fox,35,39,23,22,35,35,22,23,53,45,23,55,55,0,23,22,23,27,23,23,35,35,53,35,55,55,23,0,22,35,35,55,55,35,23,23,45,35,23,53,23,22,23,35,53,53,27,23,39,27,22,23,0,22,35,0,35,53,55,35,53,22,35,23,23,27,55,0,35,35,35,45,55,27,23,23,0,55,35,23
White,high school,free/reduced,none,33,Riya Middleton,0,27,35,34,53,53,53,0,0,27,35,53,35,27,53,34,0,23,34,35,27,53,23,34,53,53,35,34,53,53,53,23,0,53,35,0,53,0,35,35,0,35,0,23,35,0,53,35,27,45,23,35,35,35,53,35,23,35,35,53,20,53,0,35,35,0,35,53,23,53,53,0,35,23,55,35,35,35,27,55
Black,master's,free/reduced,completed,34,Hassan Foley,53,35,56,0,56,0,34,35,35,0,0,35,0,53,35,53,35,55,0,0,53,20,35,23,23,0,0,23,35,0,56,53,53,34,0,53,27,53,53,34,40,0,53,53,55,35,35,40,0,53,56,53,53,0,0,34,0,27,53,0,22,34,27,53,0,53,0,20,53,0,27,53,53,0,53,0,23,0,53,20
White,college,free/reduced,none,35,Maci Huber,34,53,22,53,45,27,0,53,27,35,53,0,34,23,34,0,34,56,53,53,0,22,0,27,56,35,53,53,0,27,0,25,35,0,53,35,0,34,0,0,35,55,35,40,56,23,0,22,53,0,53,0,25,53,27,53,53,25,0,34,23,0,53,0,53,35,53,35,0,23,0,25,0,53,40,34,40,53,0,22
Black,associate,free/reduced,none,36,Phoenix Fuentes,56,40,40,20,34,34,40,56,40,25,34,25,47,25,25,40,47,40,56,34,40,47,34,40,40,40,56,27,40,56,34,56,40,40,56,56,56,56,34,40,47,20,40,27,0,56,56,56,25,56,40,34,56,40,34,56,56,34,40,56,56,20,56,34,34,34,56,34,20,20,34,34,40,56,20,20,20,56,34,34
Native,associate,standard,none,37,Delaney Moon,40,34,20,40,25,56,56,34,56,34,56,34,56,34,40,56,40,25,40,40,34,34,56,0,25,56,34,25,56,34,27,0,34,56,34,40,40,40,56,56,56,34,56,56,34,40,34,34,34,40,34,56,27,34,56,20,34,40,34,40,0,56,34,56,56,40,40,56,56,34,56,27,34,40,0,40,56,40,40,56
White,associate,standard,none,38,Esmeralda Cooley,20,25,34,56,27,40,20,40,25,56,40,56,20,40,0,20,56,34,20,56,56,40,40,56,34,57,25,40,34,40,40,40,56,47,20,20,57,20,40,47,34,56,20,34,40,34,40,47,56,34,47,40,34,56,40,40,40,56,56,20,34,40,40,20,40,56,34,40,34,56,25,40,56,34,34,56,34,34,56,40
Native,college,standard,completed,39,Areli Marks,57,6,3,25,40,25,25,25,34,36,36,36,40,6,56,57,25,0,25,25,36,56,20,25,0,34,40,3,57,25,51,34,57,20,40,34,34,57,25,20,20,40,34,25,20,25,25,20,40,25,20,25,40,25,25,47,20,0,25,47,3,57,36,40,25,36,36,47,40,40,40,56,20,36,56,57,47,20,57,0
Native,associate,free/reduced,none,40,Raul Strong,47,36,6,47,51,57,57,57,36,57,57,57,25,56,57,47,20,3,47,57,25,3,36,51,3,36,36,56,25,36,25,36,25,25,57,25,25,25,57,57,36,57,57,6,57,3,57,36,3,36,3,57,57,57,36,25,57,36,36,25,40,47,25,25,36,57,25,25,36,25,36,36,25,25,57,25,3,57,36,36
Black,high school,standard,none,41,Rebecca Morse,25,56,0,57,6,36,47,20,3,40,25,40,57,51,6,25,57,6,57,36,57,25,3,57,51,25,57,51,20,57,36,3,20,57,25,57,36,47,36,25,25,36,3,3,25,57,36,6,6,57,6,36,6,20,57,57,25,6,57,57,25,25,57,57,57,25,57,6,3,57,57,51,57,57,6,47,6,25,25,57
Black,school,free/reduced,completed,42,Laurel Brewer,3,3,57,36,3,3,3,36,57,51,3,6,3,3,51,36,36,57,36,51,51,6,25,6,36,3,6,36,6,3,6,51,3,3,36,36,6,3,6,36,57,25,36,51,3,6,51,57,36,3,36,3,3,3,6,3,36,3,3,36,57,3,51,36,6,3,6,36,25,36,6,57,36,22,36,36,25,36,6,25
White,high school,free/reduced,completed,43,Rosemary Phelps,36,57,25,6,57,6,36,3,6,3,51,3,6,57,3,6,3,36,3,6,6,57,6,3,57,51,3,6,36,6,3,6,6,36,3,3,51,36,3,3,3,6,25,57,6,36,6,25,30,51,25,6,36,36,3,6,3,51,6,3,6,36,6,3,3,6,3,3,57,51,3,3,3,6,3,3,36,6,51,3
White,school,standard,none,44,Noemi Reilly,6,33,36,3,22,51,6,6,33,6,6,51,36,36,36,3,6,51,6,3,3,33,57,36,6,30,51,57,3,51,57,57,36,6,6,33,3,6,51,51,30,3,33,33,36,22,3,27,57,6,57,51,51,6,51,36,6,57,51,6,36,6,3,51,51,51,51,57,27,3,22,6,6,3,25,6,57,33,3,6
Native,school,standard,none,45,Lucia Sparks,27,22,51,33,36,22,27,51,30,22,22,33,27,33,43,33,33,30,33,22,33,36,33,44,33,6,22,43,33,22,33,33,33,51,51,27,22,33,22,6,6,43,6,36,51,51,33,3,51,22,33,22,43,27,22,33,51,22,30,51,33,33,22,6,22,30,30,51,33,27,51,30,51,51,30,33,30,3,33,33
Black,school,standard,completed,46,Tony Stark,33,30,30,27,33,33,33,27,51,33,30,30,51,44,30,27,51,22,27,30,22,27,43,43,43,22,33,30,51,30,43,43,27,33,27,51,30,27,33,27,33,51,27,22,43,33,30,30,22,30,43,33,30,51,30,51,33,43,22,27,30,27,33,27,33,22,33,33,6,6,33,33,33,30,27,51,27,27,30,30
Pacific Islander,college,standard,none,47,Hayden Perry,51,51,43,51,43,30,51,33,22,30,33,22,33,22,44,51,27,44,51,33,30,51,51,22,30,33,30,22,27,33,22,30,51,27,33,6,33,51,30,33,27,30,51,30,30,30,22,51,33,33,51,30,33,33,33,27,27,44,33,33,27,51,30,33,30,33,22,27,51,33,30,44,27,33,43,27,33,51,22,27
White,school,standard,none,48,Dario Sheppard,30,43,42,44,30,43,43,43,43,12,43,12,19,30,33,43,30,43,43,43,44,43,30,30,22,44,43,19,30,19,44,19,44,30,43,19,43,43,43,30,43,27,43,43,27,44,43,33,43,43,30,43,15,30,43,43,43,33,43,30,51,44,43,43,43,19,44,30,30,30,44,22,30,44,51,44,43,30,43,43
Native,associate,standard,none,49,Anahi Aguilar,43,12,33,43,44,44,44,44,19,43,44,43,44,15,22,30,43,33,44,19,43,30,27,12,44,43,44,44,43,43,42,22,30,43,30,44,19,44,44,43,51,33,19,44,33,43,19,43,44,44,27,44,22,43,44,44,30,30,44,43,43,30,19,30,44,43,19,43,19,19,43,43,44,43,33,30,51,44,19,51
Asian,bachelor,free/reduced,completed,50,Oliver King,44,44,27,30,42,19,30,30,12,44,19,44,43,43,31,44,19,19,30,44,19,44,54,33,31,19,19,33,44,44,30,44,43,44,44,43,44,30,12,19,54,12,30,42,12,19,44,42,19,19,12,19,44,44,19,19,19,12,19,44,19,43,44,44,12,44,43,12,43,43,19,19,43,12,12,43,42,43,44,44
Native,bachelor,standard,completed,51,Alexandra Beltran,12,31,54,12,15,12,19,42,44,42,42,19,31,42,54,42,42,12,19,54,31,12,42,31,54,42,12,31,42,31,15,12,12,19,19,30,31,12,19,44,19,54,44,12,42,12,42,54,12,31,19,12,31,19,12,30,44,42,42,19,12,12,12,19,19,42,54,44,44,12,12,12,12,42,44,42,12,19,31,54
Black,school,standard,none,52,Harold Cannon,42,19,12,42,19,42,42,12,8,31,12,42,54,19,12,12,12,31,12,42,12,54,12,19,12,54,54,42,12,42,19,54,42,12,42,31,42,42,42,42,44,44,31,19,54,54,12,44,31,42,44,42,12,42,31,42,12,54,54,12,42,19,42,42,42,54,42,54,31,44,42,15,19,54,19,12,44,12,42,12
Black,school,free/reduced,none,53,Nadia Blanchard,19,15,44,19,12,31,12,19,31,19,54,54,30,12,19,19,44,54,42,12,42,42,44,54,19,12,42,12,19,12,31,42,19,42,12,12,12,19,54,12,42,19,54,15,44,31,54,12,15,12,54,54,42,12,42,12,42,19,12,42,44,42,31,12,54,12,12,42,54,42,31,42,42,19,54,19,19,42,12,42
Black,bachelor,standard,none,54,Katherine Fox,54,47,19,54,31,15,8,31,42,24,29,8,12,29,42,31,54,42,31,8,29,29,19,24,42,8,8,15,31,15,12,31,54,54,31,42,15,54,31,54,10,24,12,31,19,42,31,19,10,29,42,31,19,54,8,8,54,31,29,54,54,54,29,54,8,31,31,19,42,31,15,31,31,47,29,54,54,54,8,19
Native,high school,standard,completed,55,Jaylee Walter,31,8,8,31,24,8,31,54,15,15,31,47,42,24,47,54,8,24,8,29,15,19,8,29,47,29,31,29,54,8,47,47,8,31,54,54,8,31,8,31,12,42,42,47,10,8,8,8,8,8,29,8,47,8,15,31,31,47,8,31,29,8,8,31,31,8,8,8,12,8,8,29,54,8,42,8,8,31,29,8
Native,school,standard,completed,56,Perla Henson,8,42,10,8,29,29,54,8,47,8,8,31,29,31,24,8,31,10,54,31,8,10,24,42,29,31,29,24,8,29,24,8,31,8,8,29,47,8,29,29,8,8,10,24,31,47,29,10,42,24,10,29,29,31,29,29,29,24,31,8,24,31,15,29,47,47,29,10,10,54,29,8,8,31,8,31,10,8,15,31
Native,college,standard,completed,57,Valery Diaz,24,29,29,29,8,24,29,10,29,10,47,10,24,47,10,10,29,47,29,24,24,31,10,10,24,47,47,47,10,47,29,29,29,29,29,8,29,29,47,8,24,29,8,8,24,10,24,24,47,15,24,47,10,29,24,54,8,29,24,29,31,29,10,8,29,24,10,24,29,10,24,10,29,29,31,29,24,29,10,24
Black,high school,standard,none,58,Adelyn Stark,29,10,31,24,10,10,10,24,10,47,24,24,8,10,29,29,24,8,24,47,47,24,31,8,10,24,10,10,29,10,10,10,10,24,24,24,10,10,10,24,31,10,24,10,8,24,47,29,24,10,31,24,24,24,47,24,24,8,10,24,10,24,24,10,24,10,47,31,24,29,47,47,10,24,10,10,31,24,24,10
White,school,standard,none,59,Presley Wolf,10,24,24,10,47,47,24,29,24,29,10,29,10,8,8,24,10,29,10,10,10,8,29,47,8,10,24,8,24,24,8,24,24,10,10,10,24,24,24,10,29,31,29,29,29,29,10,31,29,47,8,10,8,10,10,10,10,10,47,10,8,10,47,24,10,29,24,29,8,24,10,24,24,10,24,24,29,10,47,29
